Species,Species3,Tree.name
Gray Francolin,Francolinus pondicerianus,Francolinus_pondicerianus
Indian Silverbill,Lonchura malabarica,Lonchura_malabarica
Red Avadavat,Amandava amandava,Amandava_amandava
Sirkeer Malkoha,Phaenicophaeus leschenaultii,Phaenicophaeus_leschenaultii
Spotted Crake,Porzana porzana,Porzana_porzana
Woolly-necked Stork,Ciconia episcopus,Ciconia_episcopus
Rook,Corvus frugilegus,Corvus_frugilegus
Rufous-naped Tit,Parus rufonuchalis,Parus_rufonuchalis
Long-billed Pipit,Anthus similis,Anthus_similis
Fire-fronted Serin,Serinus pusillus,Serinus_pusillus
Wire-tailed Swallow,Hirundo smithii,Hirundo_smithii
Yellow-eyed Babbler,Chrysomma sinense,Chrysomma_sinense
Sind Sparrow,Passer pyrrhonotus,Passer_pyrrhonotus
Thick-billed Flowerpecker,Dicaeum agile,Dicaeum_agile
Painted Stork,Mycteria leucocephala,Mycteria_leucocephala
Sulphur-bellied Warbler,Phylloscopus griseolus,Phylloscopus_griseolus
White-eyed Buzzard,Butastur teesa,Butastur_teesa
Water Rail,Rallus aquaticus,Rallus_aquaticus
Chukar,Alectoris chukar,Alectoris_chukar
Isabelline Shrike,Lanius isabellinus,Lanius_isabellinus
Variable Wheatear,Oenanthe picata,Oenanthe_picata
Kashmir Flycatcher,Ficedula subrubra,Ficedula_subrubra
Sykes's Nightjar,Caprimulgus mahrattensis,Caprimulgus_mahrattensis
Rusty-tailed Flycatcher,Muscicapa ruficauda,Muscicapa_ruficauda
Spectacled Finch,Callacanthis burtoni,Callacanthis_burtoni
Eurasian Skylark,Alauda arvensis,Alauda_arvensis
White-tailed Lapwing,Vanellus leucurus,Vanellus_leucurus
Moustached Warbler,Acrocephalus melanopogon,Acrocephalus_melanopogon
Streak-throated Swallow,Hirundo fluvicola,Hirundo_fluvicola
Western Yellow Wagtail,Motacilla flava,Motacilla_flava
Persian Wheatear,Oenanthe chrysopygia,Oenanthe_chrysopygia
White-tailed Stonechat,Saxicola leucurus,Saxicola_leucurus
Sarus Crane,Grus antigone,Grus_antigone
Jungle Bush-Quail,Perdicula asiatica,Perdicula_asiatica
Jungle Prinia,Prinia sylvatica,Prinia_sylvatica
Rufous-tailed Scrub-Robin,Erythropygia galactotes,Erythropygia_galactotes
Tawny Owl,Strix aluco,Strix_aluco
Rufous-backed Redstart,Phoenicurus erythronotus,Phoenicurus_erythronotus
Tundra Swan,Cygnus columbianus,Cygnus_columbianus
Pine Bunting,Emberiza leucocephalos,Emberiza_leucocephalos
Yellowhammer,Emberiza citrinella,Emberiza_citrinella
Blyth's Rosefinch,Carpodacus rhodochlamys,Carpodacus_rhodochlamys
Reed Bunting,Emberiza schoeniclus,Emberiza_schoeniclus
Mountain Chiffchaff,Phylloscopus sindianus,Phylloscopus_sindianus
Pied Wheatear,Oenanthe pleschanka,Oenanthe_pleschanka
Little Bittern,Ixobrychus minutus,Ixobrychus_minutus
European Bee-eater,Merops apiaster,Merops_apiaster
Tytler's Leaf Warbler,Phylloscopus tytleri,Phylloscopus_tytleri
Kashmir Nutcracker,Nucifraga caryocatactes,Nucifraga_caryocatactes
Sharp-tailed Sandpiper,Calidris acuminata,Calidris_acuminata
Terek Sandpiper,Xenus cinereus,Xenus_cinereus
Black-tailed Godwit,Limosa limosa,Limosa_limosa
Ruddy Turnstone,Arenaria interpres,Arenaria_interpres
Brown-capped Pygmy Woodpecker,Dendrocopos nanus,Dendrocopos_nanus
Tawny Eagle,Aquila rapax,Aquila_rapax
Merlin,Falco columbarius,Falco_columbarius
Rustic Bunting,Emberiza rustica,Emberiza_rustica
Long-eared Owl,Asio otus,Asio_otus
Indian Bushlark,Mirafra erythroptera,Mirafra_erythroptera
Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis_melanotos
Rufous-fronted Prinia,Prinia buchanani,Prinia_buchanani
White-throated Tit,Aegithalos niveogularis,Aegithalos_niveogularis
Tickell's Blue Flycatcher,Cyornis tickelliae,Cyornis_tickelliae
Asian Desert Warbler,Sylvia nana,Sylvia_nana
Baillon's Crake,Porzana pusilla,Porzana_pusilla
Brooks's Leaf Warbler,Phylloscopus subviridis,Phylloscopus_subviridis
Greater Whitethroat,Sylvia communis,Sylvia_communis
Rufous-vented Grass Babbler,Prinia burnesii,Prinia_burnesii
Lesser Kestrel,Falco naumanni,Falco_naumanni
Gull-billed Tern,Sterna nilotica,Sterna_nilotica
White-browed Fantail,Rhipidura aureola,Rhipidura_aureola
Tundra Bean-Goose,Anser fabalis,Anser_fabalis
Yellow-crowned Woodpecker,Dendrocopos mahrattensis,Dendrocopos_mahrattensis
Common Redstart,Phoenicurus phoenicurus,Phoenicurus_phoenicurus
Green Warbler,Phylloscopus nitidus,Phylloscopus_nitidus
Red-headed Bunting,Emberiza bruniceps,Emberiza_bruniceps
Great Gray Shrike,Lanius excubitor,Lanius_excubitor
Common House-Martin,Delichon urbicum,Delichon_urbicum
Whimbrel,Numenius phaeopus,Numenius_phaeopus
Spotted Flycatcher,Muscicapa striata,Muscicapa_striata
Little Tern,Sterna albifrons,Sterna_albifrons
Lesser White-fronted Goose,Anser erythropus,Anser_erythropus
Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus_himalayensis
Tibetan Sandgrouse,Syrrhaptes tibetanus,Syrrhaptes_tibetanus
Mongolian Finch,Eremopsaltria mongolicus,Eremopsaltria_mongolicus
Tibetan Lark,Melanocorypha maxima,Melanocorypha_maxima
Pale Rosefinch,Carpodacus synoicus,Carpodacus_synoicus
Great Bittern,Botaurus stellaris,Botaurus_stellaris
Red-backed Shrike,Lanius collurio,Lanius_collurio
White-winged Tern,Chlidonias leucopterus,Chlidonias_leucopterus
Pallid Scops-Owl,Otus brucei,Otus_brucei
Eurasian Nightjar,Caprimulgus centralasicus,Caprimulgus_centralasicus
Eurasian Nightjar,Caprimulgus europaeus,Caprimulgus_europaeus
Barred Warbler,Sylvia nisoria,Sylvia_nisoria
Rough-legged Hawk,Buteo lagopus,Buteo_lagopus
Meadow Pipit,Anthus pratensis,Anthus_pratensis
Eurasian Scops-Owl,Otus scops,Otus_scops
Lesser Gray Shrike,Lanius minor,Lanius_minor
Blue-cheeked Bee-eater,Merops persicus,Merops_persicus
Common Grasshopper-Warbler,Locustella naevia,Locustella_naevia
Wood Warbler,Phylloscopus sibilatrix,Phylloscopus_sibilatrix
Red-tailed Shrike,Lanius isabellinus,Lanius_isabellinus
American Pipit,Anthus rubescens,Anthus_rubescens
Dusky Crag-Martin,Hirundo concolor,Hirundo_concolor
Caspian Gull,Larus cachinnans,Larus_cachinnans
Large Gray Babbler,Turdoides malcolmi,Turdoides_malcolmi
Western Tragopan,Tragopan melanocephalus,Tragopan_melanocephalus
Red-headed Vulture,Sarcogyps calvus,Sarcogyps_calvus
Cheer Pheasant,Catreus wallichi,Catreus_wallichi
Black-bellied Tern,Sterna acuticauda,Sterna_acuticauda
Little Gull,Larus minutus,Larus_minutus
Black-bellied Plover,Pluvialis squatarola,Pluvialis_squatarola
Cetti's Warbler,Cettia cetti,Cettia_cetti
Common Ringed Plover,Charadrius hiaticula,Charadrius_hiaticula
Tawny-bellied Babbler,Dumetia hyperythra,Dumetia_hyperythra
Eastern Orphean Warbler,Sylvia hortensis,Sylvia_hortensis
White Stork,Ciconia ciconia,Ciconia_ciconia
Indian Nuthatch,Sitta castanea,Sitta_castanea
Immaculate Cupwing,Pnoepyga immaculata,Pnoepyga_immaculata
Bohemian Waxwing,Bombycilla garrulus,Bombycilla_garrulus
Rufous-tailed Rock-Thrush,Monticola saxatilis,Monticola_saxatilis
West Himalayan Bush Warbler,Bradypterus thoracicus,Bradypterus_thoracicus
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus_ostralegus
Indian Vulture,Gyps indicus,Gyps_indicus
Black-necked Stork,Ephippiorhynchus asiaticus,Ephippiorhynchus_asiaticus
Spot-winged Rosefinch,Carpodacus rodopeplus,Carpodacus_rodopeplus
White-naped Woodpecker,Chrysocolaptes festivus,Chrysocolaptes_festivus
Pale-footed Bush Warbler,Cettia pallidipes,Cettia_pallidipes
Vinaceous Rosefinch,Carpodacus vinaceus,Carpodacus_vinaceus
Small Buttonquail,Turnix sylvaticus,Turnix_sylvaticus
White-crowned Penduline-Tit,Remiz coronatus,Remiz_coronatus
Great White Pelican,Pelecanus onocrotalus,Pelecanus_onocrotalus
Pallid Harrier,Circus macrourus,Circus_macrourus
